ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes
805,Wilmersdorf,0,0,14199,1,0,Berlin,0,0,Zoppoter Str. 9,0,0,,0,0,11.4.2011 00:00:00,0,,2011 Sperlinge am Fallrohreingang Mauer an rechter Hausgrenze,
803,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 4/ Helgolandstr.,0,0,"Foto 10.6. 11:00 Uhr Foto 118 , Skizze ist da",0,0,10.6.2011 00:00:00,0,,"2011 einzelstehendes Haus (Gartenhaus?) hinter Strassenfront, einsehbar von Helgolandstr. 3 sowie vom Hof der Zoppoter Str. 3, 1x Mauersegler am Fallrohr an Mauer",
23,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 26,0,0,,0,0,23.7.2003 00:00:00,0,,"2006: 1x MS unter Giebelspitze unter Dachziegel
2003 unter Giebelspitze unter Dachziegel
Häuser 24,24a und 26 liegen direkt nebeneinander",
22,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 24A,0,0,,0,0,23.7.2003 00:00:00,0,,2003 1x Mauersegler unter Dachrinne,
21,Wilmersdorf,1,0,14197,1,0,Berlin,0,0,Zoppoter Str. 24,0,0,,0,0,23.7.2003 00:00:00,0,,"2007 1x Sperlinge in Linie Haustür unter Dachrinne, 1x Sperlinge an der Grenze zur Nr. 22 unter Dachrinne (hatte dort 2003 an anderen Stellen, links und rechts von Haustür, Mauersegler gesehen)
2003:2xMauersegler unter Dachrinne links und rechts von Haustür",
305,Wilmersdorf,1,1,14197,0,0,Berlin,0,0,Zoppoter Str. 1,0,0,Skizze,0,0,4.8.2007 00:00:00,0,,"2007: Am linken Hausvorsprung unter Dachrinne, am Übergang zur geraden Wand 1x Mauersegler, siehe Skizze -- GErüst im Herbst,gemeldet",
882,Mitte,0,0,10555,1,0,Berlin,0,0,Zinzendorfer Str. Gotzkowskyschule,0,0,,0,0,6.6.2011 00:00:00,0,,2011 zahlreiche Sperlinge unter Flachdach /Gesims Sporthalle,
883,Mitte,0,0,10555,1,0,Berlin,0,0,Zinzendorfer Str. 5,0,0,,0,0,6.6.2011 00:00:00,0,,2011 Dachschräge zur Abflußrinne hin Sperlinge,
1541,Mitte,0,0,13357,0,0,Berlin,1,0,Zingster Str. 11,0,0,,0,0,20.05.16,0,,"2016: Nistplatz befindet sich im Haus Zingster Str. 11, 2 Balkon von unten, von der Haustür auf der linken Seite
Anflüge von Mehlschwalben beobachtet und auch Nestanflüge beobachtet. Nest ist an eingebautem Balkon links oben, von der Straße aus gesehen
-> es handelt sich um einen Gast-Eintrag, Melder hat keine Telefonnr./Email angegeben, Angabe ist nicht kontrolliert",
1559,Mitte,0,0,13357,0,0,Berlin,1,0,Zingster Str. 1,0,0,,0,0,22.07.2016,0,,"2016: Zingster Str. 1, 2. OG rechts am Balkon. Schwalbennest ist rechts oben am Balkon, zwischen Fallrohr und Balkondecke. Einflug zum Nest beobachtet
Gasteintrag-> Melder hat keine Kontaktdaten hinterlassen",
