ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes,Splitstrasse,ADDRESS,location,point,latitude,longitude,altitude
805,Wilmersdorf,0,0,14199,1,0,Berlin,0,0,Zoppoter Str. 9,0,0,,0,0,11.4.2011 00:00:00,0,,2011 Sperlinge am Fallrohreingang Mauer an rechter Hausgrenze,,Zoppoter Str. 9,"Zoppoter Str. 9, 14199, Berlin, Deutschland","9, Zoppoter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4723343, 13.2987493, 0.0)",52.4723343,13.2987493,0.0
803,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 4/ Helgolandstr.,0,0,"Foto 10.6. 11:00 Uhr Foto 118 , Skizze ist da",0,0,10.6.2011 00:00:00,0,,"2011 einzelstehendes Haus (Gartenhaus?) hinter Strassenfront, einsehbar von Helgolandstr. 3 sowie vom Hof der Zoppoter Str. 3, 1x Mauersegler am Fallrohr an Mauer",,Zoppoter Str. 4,"Zoppoter Str. 4, 14197, Berlin, Deutschland","4, Zoppoter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4727804, 13.2984396, 0.0)",52.4727804,13.2984396,0.0
23,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 26,0,0,,0,0,23.7.2003 00:00:00,0,,"2006: 1x MS unter Giebelspitze unter Dachziegel
2003 unter Giebelspitze unter Dachziegel
Häuser 24,24a und 26 liegen direkt nebeneinander",,Zoppoter Str. 26,"Zoppoter Str. 26, 14197, Berlin, Deutschland","26, Zoppoter Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4711499, 13.2981723, 0.0)",52.4711499,13.2981723,0.0
22,Wilmersdorf,1,0,14197,0,0,Berlin,0,0,Zoppoter Str. 24A,0,0,,0,0,23.7.2003 00:00:00,0,,2003 1x Mauersegler unter Dachrinne,,Zoppoter Str. 24A,"Zoppoter Str. 24A, 14197, Berlin, Deutschland","24a, Zoppoter Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4712577, 13.2981822, 0.0)",52.4712577,13.2981822,0.0
21,Wilmersdorf,1,0,14197,1,0,Berlin,0,0,Zoppoter Str. 24,0,0,,0,0,23.7.2003 00:00:00,0,,"2007 1x Sperlinge in Linie Haustür unter Dachrinne, 1x Sperlinge an der Grenze zur Nr. 22 unter Dachrinne (hatte dort 2003 an anderen Stellen, links und rechts von Haustür, Mauersegler gesehen)
2003:2xMauersegler unter Dachrinne links und rechts von Haustür",,Zoppoter Str. 24,"Zoppoter Str. 24, 14197, Berlin, Deutschland","24, Zoppoter Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4713714, 13.2981936, 0.0)",52.4713714,13.2981936,0.0
305,Wilmersdorf,1,1,14197,0,0,Berlin,0,0,Zoppoter Str. 1,0,0,Skizze,0,0,4.8.2007 00:00:00,0,,"2007: Am linken Hausvorsprung unter Dachrinne, am Übergang zur geraden Wand 1x Mauersegler, siehe Skizze -- GErüst im Herbst,gemeldet",,Zoppoter Str. 1,"Zoppoter Str. 1, 14197, Berlin, Deutschland","Marende, 1, Zoppoter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4729758, 13.2990199, 0.0)",52.4729758,13.2990199,0.0
883,Mitte,0,0,10555,1,0,Berlin,0,0,Zinzendorfstr. 5,0,0,,0,0,6.6.2011 00:00:00,0,,2011 Dachschräge zur Abflußrinne hin Sperlinge,,Zinzendorfstr. 5,"Zinzendorfstr. 5, 10555, Berlin, Deutschland","5, Zinzendorfstraße, Moabit, Mitte, 10555, Deutschland","(52.5231967, 13.3319797, 0.0)",52.5231967,13.3319797,0.0
882,Mitte,0,0,10555,1,0,Berlin,0,0,Zinzendorfstr. 15 / Gotzkowskyschule,0,0,,0,0,6.6.2011 00:00:00,0,,2011 zahlreiche Sperlinge unter Flachdach /Gesims Sporthalle,,Zinzendorfstr. 15 ,"Zinzendorfstr. 15 , 10555, Berlin, Deutschland","15, Zinzendorfstraße, Moabit, Mitte, 10555, Deutschland","(52.5233664, 13.331519, 0.0)",52.5233664,13.331519,0.0
1541,Mitte,0,0,13357,0,0,Berlin,1,0,Zingster Str. 11,0,0,,0,0,20.05.16,0,,"2016: Nistplatz befindet sich im Haus Zingster Str. 11, 2 Balkon von unten, von der Haustür auf der linken Seite
Anflüge von Mehlschwalben beobachtet und auch Nestanflüge beobachtet. Nest ist an eingebautem Balkon links oben, von der Straße aus gesehen
-> es handelt sich um einen Gast-Eintrag, Melder hat keine Telefonnr./Email angegeben, Angabe ist nicht kontrolliert",,Zingster Str. 11,"Zingster Str. 11, 13357, Berlin, Deutschland","11, Zingster Straße, Gesundbrunnen, Mitte, 13357, Deutschland","(52.5511739, 13.3886346, 0.0)",52.5511739,13.3886346,0.0
1559,Mitte,0,0,13357,0,0,Berlin,1,0,Zingster Str. 1,0,0,,0,0,22.07.2016,0,,"2016: Zingster Str. 1, 2. OG rechts am Balkon. Schwalbennest ist rechts oben am Balkon, zwischen Fallrohr und Balkondecke. Einflug zum Nest beobachtet
Gasteintrag-> Melder hat keine Kontaktdaten hinterlassen",,Zingster Str. 1,"Zingster Str. 1, 13357, Berlin, Deutschland","1, Zingster Straße, Gesundbrunnen, Mitte, 13357, Deutschland","(52.5505434, 13.3885334, 0.0)",52.5505434,13.3885334,0.0
1526,Mitte,0,1,10117,1,0,Berlin,0,0,Zimmerstrasse 11,0,0,,1,0,18.6.15,0,,2015 Hinterhof vom Hof aus an der rechten Brandmauer mit Dachziegel. Darunter mehrere Paare und in Löchern in Brandmauer. An linker Brandmauer ebenfalls Haussperlinge. Lt. Anwohnerin Fledermäuse,"Im Auge behalten, da Brandmauer noch nicht renoviert, obwohl schon  einige Arbeiten am Hausfront stattgefunden haben. ",Zimmerstrasse 11,"Zimmerstrasse 11, 10117, Berlin, Deutschland","Zimmerstraße, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland","(52.507915, 13.394208, 0.0)",52.507915,13.394208,0.0
1523,Mitte,0,0,10117,0,0,Berlin,0,0,Zimmerstraße 92/93 Hinterhof Mauerstraße 81/82,0,0,,0,0,18.6.15,1,,"2015 Turmfalke  Nest in dem Mauerwerk eingebaut  3te Etage von Oben, im Hinterhof (von uns gemeldet Adresse Mauerstr. 79/Ewerk, amtliche Adresse oben laut UNB Mitte)",,Zimmerstraße 92,"Zimmerstraße 92, 10117, Berlin, Deutschland","Zimmerstraße, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland","(52.507915, 13.394208, 0.0)",52.507915,13.394208,0.0
226,Steglitz,0,0,12163,0,0,Berlin,1,0,Zimmermannstr. 9,0,0,,0,0,31.7.2006 00:00:00,0,,2006: Mehlschwalben oberer Balkon an rechter Hausgrenze E. Etage,,Zimmermannstr. 9,"Zimmermannstr. 9, 12163, Berlin, Deutschland","9, Zimmermannstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","(52.46008125, 13.321423914678412, 0.0)",52.46008125,13.321423914678412,0.0
225,Steglitz,0,0,12163,1,0,Berlin,0,0,Zimmermannstr. 8,0,0,,0,0,31.7.2006 00:00:00,0,,2006: 1x Sperlinge in Linie Balkon links von Haustür unter Dachverblendung,,Zimmermannstr. 8,"Zimmermannstr. 8, 12163, Berlin, Deutschland","8, Zimmermannstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","(52.46000145, 13.321661628614546, 0.0)",52.46000145,13.321661628614546,0.0
133,Steglitz,1,0,12163,0,0,Berlin,0,0,Zimmermannstr. 5,0,0,Skizze,0,0,28.7.2005 00:00:00,0,,"2008 ebenso
2005: Hofseite an Dachrinne/Eckvorsprung und 2 Stellen rechts daneben mit kleinem Abstand 3x Mauersegler Einflüge, und sehr viele Anflüge. Man kommt dahin über eine Einfahrt Ahornstr. 27 (Eckhaus  hat mehrere Mauerseglerkästen unter Dach, Einflug 1x gesehen bei erstem Kasten rechts von Ecke (Ahornstr. direkt)
Dort im Hof auch noch viele Anflüge gesehen Hofseite Dachrinne und Brandmauer Ahornstr. 26",,Zimmermannstr. 5,"Zimmermannstr. 5, 12163, Berlin, Deutschland","5, Zimmermannstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","(52.4600792, 13.3222899, 0.0)",52.4600792,13.3222899,0.0
